series,11-2014,12-2014,01-2015,02-2015,03-2015,04-2015,05-2015,06-2015,07-2015,08-2015,09-2015,10-2015,11-2015,12-2015,01-2016,02-2016,03-2016,04-2016,05-2016,06-2016,07-2016,08-2016,09-2016,10-2016,11-2016,12-2016,01-2017,02-2017,03-2017,04-2017,05-2017,06-2017,07-2017,08-2017,09-2017,10-2017,11-2017,12-2017,01-2018,02-2018,03-2018,04-2018,05-2018,06-2018,07-2018,08-2018,09-2018,10-2018,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,06-2019,07-2019,08-2019,09-2019,10-2019,11-2019,12-2019,01-2020,02-2020,03-2020,04-2020,05-2020,06-2020,07-2020,08-2020,09-2020,10-2020,11-2020,12-2020,01-2021,02-2021,03-2021,04-2021,05-2021,06-2021,07-2021,08-2021,09-2021,10-2021,11-2021,12-2021,01-2022,02-2022,03-2022,04-2022,05-2022,06-2022,07-2022,08-2022,09-2022,10-2022,11-2022,12-2022,01-2023,02-2023,03-2023,04-2023,05-2023,06-2023,07-2023,08-2023,09-2023,10-2023,11-2023,12-2023,01-2024,02-2024,03-2024,04-2024,05-2024,06-2024,07-2024,08-2024,09-2024,10-2024,11-2024
Missouri Incidents,4,4,3,7,4,6,5,12,6,18,8,11,10,10,2,10,5,8,3,8,11,10,11,8,13,0,5,8,10,14,15,9,11,6,11,6,7,3,3,5,4,6,7,7,7,5,5,8,4,5,6,5,3,4,4,7,10,7,12,17,9,6,0,8,6,8,9,19,18,21,10,14,3,7,17,5,16,12,16,19,25,21,26,20,17,14,12,5,17,14,25,23,20,15,16,23,13,20,12,19,10,16,18,14,18,20,16,19,13,12,,,,,,,,,,,
Mississippi Incidents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,4,10,9,0,3,2,4,2,21,1,2,2,2,1,0,0,1,1,1,0,2,0,0,1,1,3,1,1,3,4,3,0,1,2,0,1,3,1,0,1,1,0,3,3,1,5,1,6,3,4,1,1,2,1,4,1,2,4,1,1,2,0,1,0,3,2,3,3,2,2,3,4,2,5,3,1,2,1,1,0,1,0,2,0,4,2,,,,,,,,,,,
Montana Incidents,0,4,2,1,4,5,4,8,3,7,7,0,1,3,1,1,5,3,1,1,1,3,2,1,2,0,3,2,0,1,2,1,4,3,3,1,0,1,0,1,0,0,1,1,0,5,0,0,2,2,7,1,4,3,1,3,4,1,3,1,3,3,0,1,1,3,3,5,3,3,4,2,1,0,2,1,3,1,3,2,1,2,0,1,2,0,1,0,0,1,1,2,2,0,0,3,2,2,0,2,0,2,0,1,3,0,1,0,2,0,,,,,,,,,,,
Nebraska Incidents,6,2,2,0,2,1,2,1,3,1,0,2,4,1,3,4,5,3,4,2,3,4,0,0,3,0,1,0,3,1,3,4,0,4,10,4,2,9,6,3,2,6,4,2,3,6,1,4,0,2,2,1,3,3,4,0,5,4,5,6,5,6,2,6,6,4,11,17,8,12,12,3,11,4,2,1,3,4,8,5,9,2,5,7,3,5,2,8,8,3,2,5,9,4,5,8,7,3,0,3,4,5,0,4,3,4,9,8,6,3,,,,,,,,,,,
North Carolina Incidents,12,10,9,6,10,6,20,15,19,21,21,10,14,10,14,7,9,7,10,18,18,10,14,13,17,11,14,9,9,20,15,14,11,19,18,14,8,15,8,7,10,11,15,14,14,8,12,16,15,10,12,19,19,18,29,17,17,18,26,19,15,23,12,15,13,11,21,43,42,36,23,29,20,21,17,10,16,24,22,32,26,18,24,30,24,24,19,17,25,26,29,24,25,29,43,28,27,28,21,15,13,25,27,22,19,22,20,36,22,29,,,,,,,,,,,
North Dakota Incidents,4,1,3,2,2,5,3,5,3,2,4,3,2,2,0,0,0,1,1,1,1,3,2,3,1,0,1,0,0,2,4,1,4,1,1,1,0,0,1,0,0,0,1,1,4,1,0,1,0,1,2,0,0,2,2,2,3,1,3,2,1,1,2,0,0,3,1,1,4,5,0,3,2,0,7,3,2,1,5,5,3,0,2,5,2,2,2,2,1,1,1,0,3,1,2,2,1,1,1,0,1,0,1,2,0,3,2,3,2,5,,,,,,,,,,,
New Hampshire Incidents,1,1,1,0,0,2,2,1,0,1,0,3,2,1,2,1,2,2,2,3,4,3,1,3,3,3,1,1,1,1,3,5,0,1,0,1,2,1,0,0,1,2,0,1,1,0,2,1,0,5,1,1,2,4,2,0,1,0,1,2,1,1,1,0,0,1,1,0,4,5,2,5,2,1,2,2,3,6,5,5,2,3,2,2,1,2,2,5,4,2,2,2,0,2,2,2,3,1,1,5,3,2,0,2,3,2,6,5,4,4,,,,,,,,,,,
New Jersey Incidents,24,24,22,22,29,37,31,31,23,27,23,27,25,33,4,10,6,31,30,23,34,30,29,27,34,25,27,49,55,27,40,56,42,42,38,59,43,26,37,46,43,48,42,39,36,27,44,61,66,56,53,65,72,81,115,94,77,53,99,104,85,98,97,102,89,72,94,228,150,131,135,149,100,81,44,37,53,67,71,78,59,89,63,99,63,66,47,91,105,118,99,108,72,106,85,96,98,91,97,106,110,104,113,122,78,71,69,138,122,104,,,,,,,,,,,
New Mexico Incidents,1,0,3,4,0,2,1,2,0,0,1,0,0,0,1,0,1,2,0,1,3,5,3,3,6,1,0,0,0,0,0,0,1,2,1,2,1,0,4,6,1,4,3,3,9,5,6,4,1,0,2,1,5,2,3,6,5,6,13,3,3,3,2,3,2,1,2,4,2,8,2,7,3,2,4,6,4,5,11,4,4,4,11,12,7,3,6,1,2,2,5,3,1,6,4,4,5,3,1,0,0,3,3,5,2,3,2,9,6,6,,,,,,,,,,,
Nevada Incidents,5,4,4,2,4,3,9,5,5,4,9,3,8,2,1,4,0,6,3,7,1,5,3,6,4,3,0,0,1,0,0,2,1,0,0,0,1,0,1,4,4,1,3,3,5,2,5,2,6,2,3,3,3,5,8,1,5,6,3,2,6,6,7,6,8,3,11,13,14,9,26,26,20,21,2,7,6,8,5,14,6,8,8,19,9,18,9,6,8,6,5,11,10,14,9,7,6,9,8,3,5,10,7,3,3,13,11,18,10,14,,,,,,,,,,,
